sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"café region normal , simpl , com toda as opçõ regionai , ma sem muito destaqu .",0,1,0,0,0,0,0,0
preço um pouco salgado .,0,0,0,0,0,0,1,0
"valeu a pena cada centavo , atendimento muito bom e carn boa .",0,0,1,0,0,0,1,1
rodízio maravilhoso belém melhor atendent,0,0,1,0,0,0,0,1
"ambient agradável , todo temático e ele dispo de cerveja de fabricação própria .",1,1,0,0,0,0,0,0
péssimo atendimento .,0,0,0,0,0,0,0,1
lugar muito bom para conversar e excelent opçõ de cardápio .,0,0,1,1,0,0,0,0
"comida ao ponto certo e super gostoso , para quem veio buscar informação sobr o local e atendimento , super indico !",0,0,1,0,0,0,0,1
"ótimo barzinho , com musica ao vivo , mesa na calçada e na rua , servem um bolinho de bacalhau divino , acompanhado sempr de uma cerveja ou chopp gelado .",1,1,1,1,0,0,0,0
"no geral é um bom happi hour e restaurant , tem muita opçõ de bebida e vinho e os petisco são gostoso .",0,1,1,1,0,0,0,0
"lugar agradável , comida mto bem feita .",0,0,1,1,0,0,0,0
"um ótimo restaurant , não perd o padrão do coco bambu de fortaleza .",0,0,0,1,0,0,0,0
"lugar agradável para um lanch da tard com as amiga , comida de qualidad e ótimo atendimento .",0,0,1,1,0,0,0,1
"muito bom atendimento e pizza deliciosa , gostei muito do rodízio",0,0,1,0,0,0,0,1
custo benefício alto .,0,0,0,0,0,0,1,0
petisco excelent e cerveja mega geladaaa,0,1,1,0,0,0,0,0
"ambient agradável espetacular , excelent atendimento , comida maravilhosa , tradicion restaurant com comida típica .",1,0,1,1,0,0,0,1
ambient muito legal com musica boa ( rock leve ) e o hambúrguer também estava saboroso .,1,0,1,0,0,0,0,0
"cerveja muito gelada , coámida maravilhosa a banana frita sem comentário nossa tudo de bom .",0,1,1,0,0,0,0,0
"localizado em uma esquina com doi ambient , térreo e andar superior sem climatização , apena com auxílio de ventilador .",1,0,0,0,0,0,0,0
"os atendent são super atencioso e tem o melhor valor de bebida de manau , já que uma coca de 1 l custa 3,00 ?",0,0,0,0,0,0,1,1
"local super agradável , atendimento muito bom , porçõ muito gostosa .",0,0,0,1,0,0,0,1
"estão de parabén , além de um atendimento excelent pelo garçom filip faria e ambient agradável , os prato com camarão são mravilhoso , e recomendo pedirem a torta trufada .",0,0,1,0,0,0,0,1
"excelent e agradável local para reunir , tomar um café e comer o melhor pão da cidad !",0,0,1,1,0,0,0,0
ótimo lugar,0,0,0,1,0,0,0,0
preço justo !,0,0,0,0,0,0,1,0
mai uma ótima opção em manau !,0,0,0,1,0,0,0,0
"ótimo lugar , atendimento maravilhoso !",0,0,0,1,0,0,0,1
ameeiii ... lugar cheio de lembrança do grand intelectuai dess estado ..,0,0,0,0,0,1,0,0
pão de qualidad ruim .,0,0,1,0,0,0,0,0
"ambient familiar , descontraído , ideal para levar a família , restaurant conta com um suculento bufe , os garçon são super educado , estacionamento amplo , bem localizado , comodidad na forma de pagamento e ambient espaçoso .",1,0,1,0,1,0,0,1
ambient rústico com vista para o teatro amazona .,1,0,0,0,0,0,0,0
"custo benefício ótimo , preço justo .",0,0,0,0,0,0,1,0
"de prato princip foi arroz com camarão , pirarucu defumado e tomat .",0,0,1,0,0,0,0,0
"lugar super aconchegant , em ótima localização , serviço de manobrista .. buffet variado e rodízio com carn varia",1,0,1,0,1,0,0,0
mantém um boa tradição do churrasco,0,0,1,0,0,0,0,0
"chegando já deparei com um estacionamento amplo , o ambient é bastant region caboclo , com mesa e cadeira de madeira , super decorado com imagen de animai silvestr , o cardápio e bastant variado , local limpo e bastant ventilado , vale a pena ir com a família e amigo .",1,0,1,0,1,0,0,0
uma da melhor pizzaria de manau,0,0,0,1,0,0,0,0
muito bom atendimento do garçom fernando e ótima comida ! ! !,0,0,1,0,0,0,0,1
"o restaurant a comida ótima , arejado , bebida gelada .",0,1,1,0,0,0,0,0
"excelent comida , bom preço , prato variado e ótimo atendimento .",0,0,1,0,0,0,1,1
ótimo lugar para quem busca a experiência e delícia da culinária italiana .,0,0,1,0,0,0,0,0
receptividad é um do ponto mai fort daqui !,0,0,0,0,0,0,0,1
"ambient agradável , pé direito alto , situa-s no segundo andar do prédio .",1,0,0,0,0,0,0,0
"( tradução do googl ) bar tradicion no centro de manau , a pouco passo do teatro , preço acessível de bebida ( origin ) bar tradicion en el centro de manau , a poco paso del teatro , precio acces de la bebida",0,0,0,1,0,0,1,0
"ambient agradável , comida deliciosa e atendimento excelent .",1,0,1,0,0,0,0,1
"área kid , ambient climatizado e o melhor peix da cidad por um preço justo !",1,0,1,0,0,0,1,0
uma boa opção .,0,0,0,1,0,0,0,0
"melhor opção de comida portuguesa sofisticada , com preço extremament salgado , porém , tudo impecável , atendimento , sabor e experiência .",0,0,1,0,0,0,1,0
"uma boa pedida é o cordeiro , muito bom !",0,0,1,0,0,0,0,0
"musica boa , ambient bom , gent descontraída , bacana .",1,0,0,0,0,0,0,0
ótimo atendimento .,0,0,0,0,0,0,0,1
"comida boa , lugar agradável , bom atendimento , brinquedoteca , vale a pena ir .",0,0,1,1,0,0,0,1
além da banana frita deliciosa .,0,0,1,0,0,0,0,0
"local agradável , com uma culinária region saborosa e requintada .",0,0,1,1,0,0,0,0
"no atendeu sa melhor forma , me serviu um peix que eu ... mai",0,0,0,0,0,0,0,1
"ambient ótimo , jantar delicioso e atendimento super agradável pelo garçom bruno em conjunto com o ricardo , voltarei e espero ser atendida por ele novament .",1,0,0,0,0,0,0,1
"é um local sensacion , ambient calmo e tranquilo .",1,0,0,1,0,0,0,0
"ótimo ambient , total respeito as norma de segurança por conta da pandemia , comida de boa qualidad com um preço justo .",1,0,1,0,0,0,1,0
"restaurant confortável , amplo , decoração de bom gosto , ar condicionado perfeito , música ao vivo discreta , muito bon serviço de maitr e garçon .",1,0,0,1,0,0,0,1
"poderia ter um preço mai acessívei , e isso seria de forma simpl : tendo como opção tapioca menor ou individuai .",0,0,1,0,0,0,1,0
grand variedad .,0,0,1,0,0,0,0,0
"se eu tivess que pedir um último pedido de refeição , seria o cachorro quent envolto em carn de porco .",0,0,1,0,0,0,0,0
excelent opção !,0,0,0,1,0,0,0,0
ótimo bar ond se encontra um boa cerveja gelada e ótimo pagod ..,1,1,0,1,0,0,0,0
para os ribeirinho amazônico ‘ banzeiro ’ é a agitação da água feita pelo vento .,0,0,0,0,0,1,0,0
"muito bom , ambient familiar .",1,0,0,0,0,0,0,0
estar em manau e não desfrutar do sabor do alentejo é quas uma heresia ! ! !,0,0,0,1,0,0,0,0
delicioso tambaqui com pirão e farofa com banana .,0,0,1,0,0,0,0,0
"o café region priscila é uma excelent opção para quem quer uma refeição diversificada , poi lá você muita comida típica : tapioca de vário sabor , bolo diverso - vale a pena conferir o bolo de aimpim com cobertura de calda de cupuaçu .",0,0,1,0,0,0,0,0
"excelent restaurant , ótimo preço e ambient bacana .",1,0,0,1,0,0,0,1
loval familiar e muito agradável,0,0,0,1,0,0,0,0
é uma restaurant que possui doi ambient um mai tradicion puxando pra cozinha portuguesa e outro mai moderno !,1,0,0,0,0,0,0,0
o chop caseiro é bom ma o atendimento deixa a desejar .,0,1,0,0,0,0,0,1
"cerveja geladissima , bom atendimento , ótimo preço e cardápio variado , ambient climatizado .",1,1,1,0,0,0,1,1
